,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_added,month_name_added,year_added,listed_in_1,listed_in_2,listed_in_3,duration_seasons
6411,TV Show,Camp X,Data not available,Data not available,Canada,2019-02-01,2014,TV-MA,1 Season,Docuseries,"Established during World War II, North America's first secret agent training school – known as Camp X – paved the way for present-day espionage.",2,February,2019,Docuseries,0,0,1
6413,TV Show,Can We Get Married?,Data not available,"Sung Jun, So-min Jung, Sung-min Kim, Ae-yeon Jeong, Mi-sook Lee, Eun-sook Sunwoo, Seok-woo Kang, Young-kwang Kim, Han Groo, Jin-soo Kim",South Korea,2017-05-22,2012,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","On the cusp of marriage or divorce, four couples consider the meaning of love, sharing a life, meddling families and the weight of their commitment.",5,May,2017,International TV Shows, Korean TV Shows, Romantic TV Shows,1
6416,TV Show,Cannabis,Data not available,"Jean-Michel Correia, Yasin Houicha, Pedro Casablanc, Christophe Paou, Kate Moran, Santi Pons",France,2016-12-15,2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When a huge marijuana shipment falls prey to thieves, the aftermath touches players from all ranks of the drug trade between Morocco and Europe.",12,December,2016,Crime TV Shows, International TV Shows, TV Dramas,1
6420,TV Show,Care Bears: Welcome to Care-a-Lot,Data not available,"David Lodge, Patty Mattson, Doug Erholtz, Stephanie Sheh, Nayo Wallace, Michael Sinterniklaas, Michaela Dean",United States,2019-08-02,2012,TV-Y,1 Season,Kids' TV,"Nestled in a faraway cloud is a rainbow-colored world called Care-a-Lot, home to the magical Care Bears who each have a special talent.",8,August,2019,Kids' TV,0,0,1
6426,TV Show,Case Closed,Data not available,"Minami Takayama, Alison Retzloff, Wakana Yamazaki, Colleen Clinkenbeard, Akira Kamiya, R. Bruce Elliott, Wataru Takagi, Chafurin, Mark Stoddard",Japan,2019-01-04,2015,TV-14,1 Season,"Anime Series, Crime TV Shows, TV Thrillers","Turned into a young boy by a sinister potion, teen sleuth Conan helps solve baffling crimes while tracking down the nefarious agents who poisoned him.",1,January,2019,Anime Series, Crime TV Shows, TV Thrillers,1
6430,TV Show,Castle of Stars,Data not available,"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",United States,2018-09-07,2015,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.",9,September,2018,International TV Shows, Romantic TV Shows, TV Comedies,1
6451,TV Show,Chasing Monsters,Data not available,Cyril Chauquet,Canada,2017-12-15,2016,TV-PG,2 Seasons,"Docuseries, Reality TV, Science & Nature TV",Adventurer Cyril Chauquet seeks out the most colossal and dangerous underwater creatures around the world in this adrenaline-packed series.,12,December,2017,Docuseries, Reality TV, Science & Nature TV,2
6455,TV Show,Cheapest Weddings,Data not available,Melanie Vallejo,Australia,2017-12-01,2016,TV-14,1 Season,"International TV Shows, Reality TV",Couples on a tiny budget try to ensure that the day of their wedding turns out to be the magical experience they always dreamed it would be.,12,December,2017,International TV Shows, Reality TV,0,1
6456,TV Show,Cheers,Data not available,"Ted Danson, Rhea Perlman, George Wendt, John Ratzenberger, Shelley Long, Kirstie Alley, Woody Harrelson, Kelsey Grammer, Nicholas Colasanto",United States,2017-07-01,1992,TV-PG,11 Seasons,"Classic & Cult TV, TV Comedies","Sam Malone, an ex-baseball player turned bar owner, operates a saloon that's always filled with quirky customers and even more eccentric staff.",7,July,2017,Classic & Cult TV, TV Comedies,0,11
6457,TV Show,Chef & My Fridge,Data not available,"Seong-joo Kim​, Jung-hwan Ahn",South Korea,2017-08-04,2017,TV-PG,2 Seasons,"International TV Shows, Korean TV Shows, Reality TV",The best chefs of Korea go head-to-head to create impromptu dishes that feature ingredients found inside the guest stars' very own refrigerators.,8,August,2017,International TV Shows, Korean TV Shows, Reality TV,2
6459,TV Show,Chewin' the Fat,Data not available,"Ford Kiernan, Greg Hemphill, Karen Dunbar, Mark Cox, Paul Riley",United Kingdom,2016-10-01,1999,TV-14,1 Season,"British TV Shows, TV Comedies","Petty criminals, dodgy decorators, full-bore Glaswegians and oddball documentary presenters converge in this sketch show that parodies Scottish life.",10,October,2016,British TV Shows, TV Comedies,0,1
6460,TV Show,Chewing Gum,Data not available,"Michaela Coel, John Macmillan, Robert Lonsdale, Danielle Walters, Kadiff Kirwan, Susan Wokoma, Shola Adewusi, Sarah Hoare, Abby Rakic-Platt, Maggie Steed, Olisa Odele",United Kingdom,2017-04-04,2017,TV-MA,2 Seasons,"British TV Shows, International TV Shows, Romantic TV Shows","The virginal Tracey, who was raised in a strictly religious Tower Hamlets flat, is ready to realize her potential. And the first step is having sex.",4,April,2017,British TV Shows, International TV Shows, Romantic TV Shows,2
6469,TV Show,Chill with Bob Ross,Data not available,Bob Ross,United States,2016-12-01,1994,TV-G,1 Season,TV Shows,Iconic artist and master of relaxation Bob Ross demonstrates the process of creating wintry scenes in these episodes dedicated to the season.,12,December,2016,TV Shows,0,0,1
6477,TV Show,Christiane Amanpour: Sex & Love Around the World,Data not available,Data not available,United States,2018-09-30,2018,TV-MA,1 Season,Docuseries,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.",9,September,2018,Docuseries,0,0,1
6483,TV Show,Chuck Chicken,Data not available,Data not available,Malaysia,2017-11-15,2017,TV-Y7,1 Season,Kids' TV,"On the island of Rocky Perch, security company owner Chuck Adoodledoo and his friends provide kung fu-style protection for their fellow bird citizens.",11,November,2017,Kids' TV,0,0,1
6487,TV Show,City in the Sky,Data not available,Data not available,United Kingdom,2017-10-01,2016,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV","This series explores the magnitude and scale of modern air travel, and the challenges faced by those responsible for its smooth functioning.",10,October,2017,British TV Shows, Docuseries, Science & Nature TV,1
6490,TV Show,Civilizations,Data not available,Data not available,United Kingdom,2018-10-01,2018,TV-14,1 Season,"British TV Shows, Docuseries","Expanding Kenneth Clark's 1969 ""Civilisation"" series for a new generation, this reboot explores the art of cultures around the world, throughout time.",10,October,2018,British TV Shows, Docuseries,0,1
6495,TV Show,Classic Legends,Data not available,Javed Akhtar,India,2017-05-15,2012,TV-PG,1 Season,"Docuseries, International TV Shows",This documentary series explores the glamour of Bollywood through the stories of the men and women who have illuminated its screens.,5,May,2017,Docuseries, International TV Shows,0,1
6498,TV Show,Click for Murder,Data not available,Donal MacIntyre,United Kingdom,2017-09-17,2017,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.,9,September,2017,British TV Shows, Crime TV Shows, Docuseries,1
6504,TV Show,Club Friday The Series 6,Data not available,"Puttichai Kasetsin, Kongtoranin Lalana, Preechaya Pongthananikorn",United States,2019-03-09,2015,TV-MA,9 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas","Based on a Thai radio show that gives love advice to callers, this series dramatizes stories of infidelity, love triangles, sexual identity and more.",3,March,2019,International TV Shows, Romantic TV Shows, TV Dramas,9
6505,TV Show,Club Friday The Series 7,Data not available,"Sornram Tappituk, Amy Amika Klinprathum, Tanya Liyah, Shaun Jindachote, Four Sakolrat Wornurai, Toomtam Yuthana Puengklarng, Monchanok Saengchaipiangpen, Nat Myria Benedetti, Oil Thana Suttikamul, View Wannarot Sontichai, Pimthong Washirakom",United States,2018-06-18,2016,TV-MA,7 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas",More confessional tales of love and heartbreak play out in this next installment of the popular Thai TV series based on a real-life call-in radio show.,6,June,2018,International TV Shows, Romantic TV Shows, TV Dramas,7
6506,TV Show,Club Friday The Series 8,Data not available,"Chutavuth Pattarakampol, Focus Jirakul, Sattaphong Phiangphor, Toni Rakkaen, Paula Taylor, Virithipa Phakdeeprasong, Pakkaramai Potranan",United States,2019-02-02,2017,TV-MA,8 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","The eighth installment of this popular Thai series, based on a real-life call-in radio show, dramatizes personal stories of romance and heartbreak.",2,February,2019,International TV Shows, Romantic TV Shows, TV Comedies,8
6507,TV Show,Club Friday To Be Continued - Friend & Enemy,Data not available,"Wanida Termthanaporn, Apinya Sakuljaroensuk, Golf Pichaya Nitipaisankul, Thassapak Hsu",United States,2018-04-20,2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","A love triangle spirals out of control, wreaking havoc on a couple's relationship and a friendship between two women.",4,April,2018,International TV Shows, Romantic TV Shows, TV Dramas,1
6508,TV Show,Club Friday To Be Continued - My Beautiful Tomboy,Data not available,"Puttichai Kasetsin, Lalana Kongtoranin",United States,2018-04-13,2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A change in sexual identity complicates young Meen's relationships, while memories of a past romance remain fresh.",4,April,2018,International TV Shows, Romantic TV Shows, TV Comedies,1
6509,TV Show,Club Friday To Be Continued - The Promise,Data not available,"Jirayu La-ongmanee, Focus Jirakul",United States,2018-04-20,2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Two young lovers vow to stay friends through thick and thin, but separation tests their bond until fate allows them to reunite.",4,April,2018,International TV Shows, Romantic TV Shows, TV Dramas,1
6513,TV Show,Cold Case Files,Data not available,Data not available,United States,2019-09-15,2017,TV-14,1 Season,"Crime TV Shows, Docuseries",Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.,9,September,2019,Crime TV Shows, Docuseries,0,1
6514,TV Show,Cold Case Files Classic,Data not available,Bill Kurtis,United States,2020-09-15,1999,TV-MA,1 Season,"Crime TV Shows, Docuseries","Through forensic science and criminal psychology, an elite breed of detectives reexamine long-unsolved crimes to deliver justice and the truth.",9,September,2020,Crime TV Shows, Docuseries,0,1
6519,TV Show,Comedy Bang! Bang!,Data not available,"Scott Aukerman, Reggie Watts",United States,2016-12-28,2016,TV-14,5 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies","Scott Aukerman brings his popular podcast Comedy Bang! Bang! to television, along with his co-host and bandleader, Reggie Watts.",12,December,2016,Stand-Up Comedy & Talk Shows, TV Comedies,0,5
6520,TV Show,Comedy High School,Data not available,"Ram Kapoor, Gopal Dutt, Paritosh Tripathi, Krishna Bhatt, Jasmeet Bhatia, Deepak Dutta, Parvati Sehgal, Surleen Kaur",United States,2018-07-01,2018,TV-14,1 Season,"International TV Shows, TV Comedies","Featuring goofy sketches and celebrity appearances, this offbeat stage show follows an assortment of oddball characters at an eccentric high school.",7,July,2018,International TV Shows, TV Comedies,0,1
6524,TV Show,Conan Without Borders,Data not available,Data not available,United States,2018-12-31,2018,TV-14,1 Season,"Docuseries, TV Comedies",Late-night talk show host Conan O'Brien hits the road in this special that brings him and his sense of humor to far-flung destinations.,12,December,2018,Docuseries, TV Comedies,0,1
6532,TV Show,Cooking on High,Data not available,"Josh Leyva, Ngaio Bealum",United States,2018-06-22,2018,TV-MA,1 Season,Reality TV,"In the first-ever competitive cannabis cooking show, two chefs prepare mouthwatering marijuana-infused dishes for a panel of very chill celeb judges.",6,June,2018,Reality TV,0,0,1
6538,TV Show,Court Justice,Data not available,Chris Bourke,Australia,2019-10-02,2017,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","In a bustling local court in Sydney, 12 magistrates preside over different levels of criminal offenses and deliver life-changing verdicts.",10,October,2019,Crime TV Shows, Docuseries, International TV Shows,1
6542,TV Show,Crime Time,Data not available,"Augusto Madeira, Érico Brás, Gustavo Machado, Dionisio Neto, Fernanda Vianna, Georgina Castro, Leo Miranda, Marat Descartes, Mauricio Tarcinalli Barros, Sabrina Greve, Sérgio Malheiros",France,2019-01-31,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Born into poverty and trapped in a grim job as a cop in the favelas, a wannabe actor forges a bloody path to celebrity and wealth. Based on true events.",1,January,2019,Crime TV Shows, International TV Shows, TV Action & Adventure,1
6549,TV Show,Dad's Army,Data not available,"Arthur Lowe, John Le Mesurier, Clive Dunn, John Laurie, Arnold Ridley, Ian Lavender, James Beck, Bill Pertwee",United Kingdom,2018-03-31,1977,TV-PG,10 Seasons,"British TV Shows, Classic & Cult TV, TV Comedies",This beloved sitcom follows the unlikely heroes of the volunteer British Home Guard as they prepare for German invasion in World War II.,3,March,2018,British TV Shows, Classic & Cult TV, TV Comedies,10
6556,TV Show,Dance Academy,Data not available,"Xenia Goodwin, Alicia Banit, Dena Kaplan, Isabel Durant, Thom Green, Jordan Rodrigues, Thomas Lacey, Tim Pocock, Tara Morice",Australia,2017-12-20,2013,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Fifteen-year-old Tara Webster's dream of dancing comes true when she gets into a top dance academy. She soon realizes dancing is only half the battle.,12,December,2017,International TV Shows, Romantic TV Shows, TV Dramas,1
6559,TV Show,Dandy,Data not available,"Alfonso Herrera, Damián Alcázar, Gabriela Roel, Itahisa Machado, Dagoberto Gama, Hernán Mendoza, Daniel Martínez, Christian Vasquez, Aleyda Gallardo, Danny Perea, Pakey Vázquez, Fátima Molina, Héctor Holten, Carlos Valencia",Mexico,2018-03-31,2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A law professor is enlisted by Mexico's attorney general to join a special operations unit infiltrating the capital's most notorious drug cartel.,3,March,2018,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,1
6560,TV Show,Dangerous Roads,Data not available,"Adrian Dunbar, Sue Perkins, Charley Boorman, Rhod Gilbert, Greg Davies, Ben Fogle, Hugh Dennis, Ed Byrne, Andy Parsons, Liza Tarbuck, David Baddiel",United Kingdom,2019-02-01,2012,TV-MA,2 Seasons,"British TV Shows, Docuseries","Using various 4x4 vehicles, celebrities steer their way across some of the most infamous roads and trickiest terrains on earth.",2,February,2019,British TV Shows, Docuseries,0,2
6568,TV Show,Darr Sabko Lagta Hai,Data not available,Bipasha Basu,India,2018-03-01,2015,TV-MA,1 Season,"International TV Shows, TV Horror, TV Thrillers","In this chilling horror anthology series, actress and model Bipasha Basu meets people who have had disconcerting paranormal experiences.",3,March,2018,International TV Shows, TV Horror, TV Thrillers,1
6571,TV Show,Day and Night,Data not available,"Pan Yueming, Wang Longzheng, Liang Yuen, Lü Xiaolin, Yin Shuyi, Hou Xuelong, Song Naigang",China,2018-03-23,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A detective assists with an investigation into a brutal mass murder case in which his twin brother is the prime suspect.,3,March,2018,Crime TV Shows, International TV Shows, TV Dramas,1
6572,TV Show,Days We Stared at the Sun,Data not available,"Sean Huang, Chang Chia-yu, Wu Chien-ho, Teresa Daley, Yong Lea, Edison Song, Shan Cheng-ju, Iris Hu, Hsia Teng-hung",Taiwan,2018-03-31,2017,TV-MA,2 Seasons,"International TV Shows, TV Dramas",A model student resorts to violence after witnessing greed and corruption wreak havoc on his life.,3,March,2018,International TV Shows, TV Dramas,0,2
6586,TV Show,Deep Undercover Collection,Data not available,Dave B. Mitchell,United States,2018-07-20,2017,TV-MA,3 Seasons,"Crime TV Shows, Docuseries","Former FBI agent Joe Pistone, the real-life ""Donnie Brasco,"" hosts this series that reveals the true stories of undercover crime-fighting operations.",7,July,2018,Crime TV Shows, Docuseries,0,3
6587,TV Show,Deep Water,Data not available,"Noah Taylor, Yael Stone, Jeremy Lindsay Taylor, Danielle Cormack, Ben Oxenbould, Dan Spielman, Craig McLachlan, William McInnes, Olivia McNamara, John Brumpton, Simon Burke, Simon Elrahi, Victoria Haralabidou, Renee Lim, Julian Maroun, George Harrison Xanthis",Australia,2017-07-01,2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Back in Bondi Beach, where she grew up, DC Tori Lustigman investigates a gay man's murder and finds a link to her brother's death decades earlier.",7,July,2017,Crime TV Shows, International TV Shows, TV Dramas,1
6601,TV Show,Devlok with Devdutt Pattanaik,Data not available,"Rasika Dugal, Devdutt Pattanaik",India,2018-10-15,2017,TV-PG,1 Season,International TV Shows,"Through chats with host Rasika Dugal, mythologist Devdutt Pattanaik explores the meaning and modern-day relevance of Indian folklore and philosophy.",10,October,2018,International TV Shows,0,0,1
6603,TV Show,Dexter,Data not available,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar, C.S. Lee, Lauren Vélez, Desmond Harrington, Julie Benz, Christina Robinson, Geoff Pierson",United States,2018-01-01,2013,TV-MA,8 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",1,January,2018,Crime TV Shows, TV Dramas, TV Mysteries,8
6611,TV Show,Dinner for Five,Data not available,Data not available,United States,2008-02-04,2007,TV-MA,1 Season,Stand-Up Comedy & Talk Shows,"In each episode, four celebrities join host Jon Favreau for dinner and share revealing stories about both show business and their personal lives.",2,February,2008,Stand-Up Comedy & Talk Shows,0,0,1
6613,TV Show,Dino Hunt,Data not available,Data not available,Canada,2017-08-04,2016,TV-G,1 Season,"Docuseries, Science & Nature TV","Top scientists and paleontologists examine dinosaur fossils located throughout Canada, while searching for elusive new species.",8,August,2017,Docuseries, Science & Nature TV,0,1
6618,TV Show,Diva Brides,Data not available,Data not available,United States,2019-10-02,2017,TV-MA,1 Season,"British TV Shows, Reality TV","In this reality series, brides-to-be stop at nothing to have their dream weddings despite meager funds, fallouts with friends or even absent grooms.",10,October,2019,British TV Shows, Reality TV,0,1
6635,TV Show,Doomsday Preppers,Data not available,Michael Izquierdo,United States,2019-03-01,2013,TV-14,1 Season,"Reality TV, Science & Nature TV",This series highlights a diverse group of survivalists as they prepare for various catastrophic scenarios that could cause civilization to collapse.,3,March,2019,Reality TV, Science & Nature TV,0,1
6646,TV Show,Dramaworld,Data not available,"Liv Hewson, Sean Dulake, Justin Chon, Noo-Ri Bae, Sa-hee Kim, Jimmy Shubert","United States, South Korea, China",2016-05-23,2016,TV-14,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas","A huge fan of a Korean TV drama is transported to a magical realm where she has the power to alter her favorite show's story line as a ""Facilitator.""",5,May,2016,Romantic TV Shows, TV Comedies, TV Dramas,1
6651,TV Show,"Drugs, Inc.",Data not available,Mike Secher,United States,2019-03-23,2015,TV-MA,1 Season,"Crime TV Shows, Docuseries","This absorbing documentary series follows the entire supply chain of the illicit drug trade, tracing its production, export, sale and consumption.",3,March,2019,Crime TV Shows, Docuseries,0,1
6652,TV Show,Dueños del paraíso,Data not available,"Kate del Castillo, Jorge Zabaleta, José María Torre, Tony Dalton, Géraldine Bazán, Ximena Duque, Adriana Barraza, Juan Pablo Llano, Daniela Wong, Tiago Correa, Margarita Muñoz, Miguel Varoni, Ariel Texido, María Luisa Flores, Alberto Jiménez, Andrea López, Maxi Iglesias, Jorge Hernández, Alberto Mateo, Sofía Lama","United States, Chile",2017-02-25,2015,TV-14,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","When Anastasia Cardona's drug lord husband is murdered, she inherits his cocaine empire, leading to a life of wealth, power, violence and betrayal.",2,February,2017,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,1
6658,TV Show,Earth to Luna!,Data not available,"Angelina Carballo, Raul-Gomez Pina, Eric Anderson",Brazil,2020-04-10,2014,TV-Y,1 Season,Kids' TV,"Curious about everything and excited about science, 6-year-old Luna, her brother Jupiter and pet Clyde explore nature to learn about the world.",4,April,2020,Kids' TV,0,0,1
6659,TV Show,Earth's Natural Wonders,Data not available,Olivia Colman,United Kingdom,2017-03-01,2015,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV",Earth's most sublime landscapes can also be the most forbidding. Discover how inhabitants survive and flourish in our planet's harshest environments.,3,March,2017,British TV Shows, Docuseries, Science & Nature TV,1
6660,TV Show,Earth's Natural Wonders: Life at the Extremes,Data not available,Corey Johnson,United States,2018-10-01,2018,TV-14,1 Season,"British TV Shows, Docuseries, Science & Nature TV","From the Arctic to the Outback, humans battle the elements and use their ingenuity to survive in the most extreme environments in the world.",10,October,2018,British TV Shows, Docuseries, Science & Nature TV,1
6663,TV Show,Easy Fortune Happy Life,Data not available,"Lan Cheng-lung, Joe Chen, Roy Chiu, Jocelyn Wang, Chieh-kai Shiou, Ting Chiang, Wang Chuan",Taiwan,2016-09-01,2009,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients.",9,September,2016,International TV Shows, Romantic TV Shows, TV Comedies,1
6671,TV Show,El Barco,Data not available,"Juanjo Artero, Mario Casas, Blanca Suárez, Irene Montalà, Luis Callejo, Neus Sanz, Juan Pablo Shuk, Ivan Massagué, Marina Salas, Bernabé Fernández, Javier Hernández, Patricia Arbúes, David Seijo, Giselle Calderón",Spain,2017-07-01,2013,NR,3 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Forty young crew members traveling aboard a training vessel are in for the adventure of a lifetime – especially when a storm leaves them lost at sea.,7,July,2017,International TV Shows, Romantic TV Shows, Spanish-Language TV Shows,3
6672,TV Show,El Cartel,Data not available,"Manolo Cardona, Karen Martínez, Robinson Díaz, Diego Cadavid, Fernando Solórzano, Julian Arango, Sandra Reyes, Juan Pablo Raba, Fernando Arévalo",Colombia,2018-08-24,2008,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",One man makes a fateful decision to get involved with a Colombian drug cartel in this series based on a novel by Andrés López López.,8,August,2018,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,1
6673,TV Show,El Cartel 2,Data not available,"Diego Cadavid, Robinson Díaz, Patricia Manterola, Carolina Guerra, John Álex Toro, Luis Eduardo Arango, Alejandro Martínez, Juan Sebastián Aragón, Víctor Mallarino, Santiago Moure, Carlos Echavarría, John Gertz",Colombia,2018-08-24,2010,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Drug trafficker Pepe Cadena navigates the treacherous waters of warring cartels in Mexico and Colombia while avoiding capture by the DEA and police.,8,August,2018,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,1
6674,TV Show,El Chavo,Data not available,"Roberto Gómez Bolaños, María Antonieta de las Nieves, Carlos Villagrán, Florinda Meza García, Angelines Fernández Abad, Rubén Aguirre Fuentes, Edgar Vivar, Ramón Gómez Valdez de Castillo",Mexico,2017-12-31,1979,TV-PG,1 Season,"Classic & Cult TV, Kids' TV, Spanish-Language TV Shows","El Chavo is a poor, nameless orphan who lives in an apartment building with La Chilindrina, Quico, Doña Florinda, Don Ramón and Professor Jirafales.",12,December,2017,Classic & Cult TV, Kids' TV, Spanish-Language TV Shows,1
6676,TV Show,El Clon,Data not available,"Mauricio Ochmann, Sandra Echeverría, Saúl Lisazo, Roberto Moll, Geraldine Zivic, Andrea López, Juan Pablo Raba, Daniel Lugo",United States,2017-05-18,2010,TV-14,1 Season,"Romantic TV Shows, Spanish-Language TV Shows, TV Dramas","Religion thwarted Lucas and Jade's young love. They reunite decades later, but Jade's heart is torn between the man she knew and his younger clone.",5,May,2017,Romantic TV Shows, Spanish-Language TV Shows, TV Dramas,1
6678,TV Show,El Vato,Data not available,"El Dasa, Cristina Rodlo, Ricardo Polanco, Gustavo Egelhaaf, Mauricio Martínez, Itatí Cantoral, Arcelia Ramírez, Horacio Castelo, Fátima Molina, Leonardo Daniel, Giancarlo Vidrio, Mónica Dionne, Sebastián Ferrat, Mauricio Isaac, Aldo Gallardo, Julio Casado, Arnulfo Reyes Sanchez, José María de Tavira, Pablo Bracho, Patricio Sebastián",United States,2018-02-24,2017,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies","Regional Mexican singer El Vato and his friends struggle to succeed in the enticing but deceptive music world in Los Angeles, California.",2,February,2018,International TV Shows, Spanish-Language TV Shows, TV Comedies,2
6690,TV Show,Emogenius,Data not available,Hunter March,United States,2018-12-15,2017,TV-PG,1 Season,Reality TV,"Two pairs of contestants go head-to-head for several rounds, deciphering puzzles and messages comprised of emojis for a chance at a $10,000 prize.",12,December,2018,Reality TV,0,0,1
6693,TV Show,Encerrados,Data not available,"Luis Machín, Maria Merlino, Fabián Vena, Ana Chalentano, Nelly Prince, Victor Laplace, Silvia Pérez, Pilar Gamboa, Alberto Ajaka, Fabio Alberti, Martin Slipak, Martín Piroyansky, Paula Ransenberg",United States,2018-06-18,2018,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies","This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally.",6,June,2018,International TV Shows, Spanish-Language TV Shows, TV Comedies,1
6695,TV Show,Encounters with Evil,Data not available,Richard Lintern,United Kingdom,2019-07-12,2016,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries","This documentary series tries to get at the root of some of the most heinous crimes ever committed by deranged, cold-blooded criminals.",7,July,2019,British TV Shows, Crime TV Shows, Docuseries,1
6697,TV Show,Enemigo íntimo,Data not available,"Raúl Méndez, Fernanda Castillo, Matias Novoa, Guillermo Quintanilla, Leonardo Daniel, Otto Sirgo, Alejandro Speitzer, Armando Hernández, Valentina Acosta, Elvira Monsell",United States,2018-08-08,2018,TV-MA,1 Season,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas","Siblings separated as children who no longer recognize each other are pitted against each other in a war involving drugs, crime and betrayal.",8,August,2018,Crime TV Shows, Spanish-Language TV Shows, TV Dramas,1
6709,TV Show,Eurovision Song Contest,Data not available,"Bar Refaeli, Erez Tal, Assi Azar, Lucy Ayoub",United States,2019-07-23,2019,TV-PG,1 Season,International TV Shows,Singers from all over Europe represent their countries in an international showdown and vie for superstar glory.,7,July,2019,International TV Shows,0,0,1
6714,TV Show,Everyday Miracles,Data not available,Mark Miodownik,United Kingdom,2017-08-01,2014,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",Materials scientist Mark Miodownik takes us into the world of everyday objects that make our lives more comfortable than those of our ancestors.,8,August,2017,British TV Shows, Docuseries, International TV Shows,1
6717,TV Show,Ex-Boyfriend,Data not available,"Tony Yang, Nana Lee, Jerry Huang, Liao Yi Chiao",China,2017-01-01,2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Still haunted by the traumatic event that ended her high school romance, a young professional gets a new subordinate: her former sweetheart.",1,January,2017,International TV Shows, Romantic TV Shows, TV Comedies,1
6718,TV Show,Exclusive Edition,James Lee,"Berg Lee, Yise Loo, Alvin Wong, Hady, Monday Kang, Ruobing, Wymen Yang, May June, Aenie Wong, Ernest Chong",United States,2017-08-14,2008,TV-14,1 Season,"International TV Shows, TV Dramas","Young journalists working for a magazine juggle careers, romance and other challenges while reporting on social issues and news stories in Malaysia.",8,August,2017,International TV Shows, TV Dramas,0,1
6724,TV Show,Extras,Data not available,"Ricky Gervais, Stephen Merchant, Ashley Jensen, Shaun Williamson, Shaun Pye","United Kingdom, United States",2017-03-31,2006,TV-MA,2 Seasons,"British TV Shows, TV Comedies","Grasping hungrily for stardom, bit actor Andy Millman and his pal Maggie spend their days chasing after work as film and TV extras.",3,March,2017,British TV Shows, TV Comedies,0,2
